,Coefficient
AdultWeekday,20.04566467057
yearsOpen,2.866228369022036
SkiableTerrain_ac,2.408945197915009
Runs,1.874827378238543
surface,1.6422245027319076
quad,1.467047557807492
fastQuads,1.3831049620715872
triple,1.2462242746761203
daysOpenLastYear,1.2103603003211996
vertical_drop,1.1750177725420938
summit_elev,1.11498730564121
projectedDaysOpen,0.9664511256521688
